Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.09354213277696884,0.23040142295572372,0.0028051190974046573,2.104049186160733,0.24374793236162148
2,0.031607432855221024,0.2116067014413977,0.0011752907193110988,0.8449306506366556,0.2223564059126611
3,0.028323897736567096,0.19197296553157728,0.0009056074198856228,0.7593565288260749,0.20089693279827342
4,0.026647284853957374,0.1800319457379995,0.0007866215341881444,0.7137642677932774,0.19035436826593735
5,0.025064989526126034,0.16948262271142495,0.0006757968424490318,0.6714582118229062,0.18519381389898412
6,0.02476447330181039,0.16384371252972335,0.0006427752678913694,0.6597759530185838,0.1832836059963002
7,0.02255227046876569,0.15285372679760353,0.0004938019665381351,0.6043929375860848,0.1747588214336657
8,0.021111637374051,0.1438932307488826,0.00042946488389788843,0.5665554433789503,0.16842752300641117
9,0.0209675663032045,0.13920586866778503,0.0003796338042984706,0.5589368299226826,0.1676506198504392
10,0.020504533930560724,0.13694505240759708,0.00040640064588032455,0.5474421300486172,0.16584426909685135
11,0.019640096697684777,0.13178261048701467,0.00034297569729133185,0.5249275218585086,0.1618714151429195
12,0.018763544700895533,0.12577281590203218,0.00028962085070194577,0.5013333325505528,0.15486309765016332
13,0.018440466532207905,0.12314220210685817,0.00028330703927066116,0.4922348379002617,0.152519996844086
14,0.017963881616041507,0.11936678946153993,0.0002696316070614143,0.47891405197645376,0.15165284349053515
15,0.017592484616209884,0.11777065500854632,0.00027847431358379567,0.46989881866749433,0.14985653407433452
16,0.017224568852959605,0.11470556707208412,0.00026367958698735695,0.4594606223743163,0.14554103127881593
17,0.01679720422931881,0.11151310034384761,0.00023644799866794728,0.447693630985084,0.14196621816532284
18,0.01611712372040796,0.10785627324380201,0.0002339425066530817,0.4304326885212255,0.14310138672590256
19,0.0159442824293522,0.1057591656889079,0.00021737194989340122,0.4248621850730618,0.14227275974025913
20,0.01536801598482428,0.10298787583522753,0.00020311893644836277,0.4105513158990473,0.13730070126407287
21,0.014819403614950682,0.09880657578926695,0.0001732237038027828,0.395367871401386,0.13896985819526747
22,0.014313832451515154,0.09687688206757392,0.00016763688248817136,0.3833211676338539,0.13563766155172796
23,0.014397211726606402,0.09568853964838189,0.00016841176466497642,0.38380118474737657,0.13890561052397185
24,0.013859148107570912,0.09303216632786536,0.00015043116931801935,0.37036556092033623,0.13722210172929017
25,0.013566699619394364,0.09036562939711204,0.00014187883839140072,0.36184150126501746,0.1362967289545957
26,0.01304372637118966,0.08810003811243183,0.0001317932789098866,0.3491063579272029,0.1348588586437936
27,0.013212513345652228,0.08840567538841439,0.00015472577867092318,0.3528106687484407,0.13714400854180842
28,0.013079029572639692,0.08744432999495765,0.000162900076943857,0.349187820335184,0.13642536892610438
29,0.012388153643408846,0.08340783067607663,0.00012275697475146494,0.33129366035817154,0.13316841218985764
30,0.012107713084353945,0.08154498349561234,0.00011571477276397973,0.32381495962381907,0.1310689986920824
31,0.012266759991917361,0.08207763952111873,0.0001285582080456653,0.3275413970231738,0.13057491168671964
32,0.011828456919933065,0.07946430184031945,0.00011347271007617483,0.3161469124817631,0.13132503102807438
33,0.011732677824886469,0.07870385804317535,0.00011717915063080058,0.3134745931197679,0.13022737015111774
34,0.011544136640219048,0.07749375273263535,0.00010422161620160393,0.3084807059895205,0.12918295521362155
35,0.011201897236160035,0.07554964011785381,0.00010519276356448129,0.2996927776409988,0.13127899345229654
36,0.011322821195583137,0.07584703443805287,0.00011384521886095901,0.30241730308546294,0.12868299306023354
37,0.010792452997394364,0.07252108969286525,0.00010001769488990828,0.2884701672678385,0.13428985605052873
38,0.010861573116068892,0.07257573058773553,0.0001075014165290504,0.2899146938276454,0.12777646455694647
39,0.010802649364091779,0.0720801809654149,9.738080045616716e-05,0.28823054969684136,0.1326791985946543
40,0.01050160064866898,0.07019550572223707,8.547996546682511e-05,0.28031299865734605,0.12922902682832643
41,0.010207174295996548,0.06886168941006846,8.240487272348647e-05,0.27308758064798994,0.12793894243590972
42,0.009965328786072399,0.06701679531153894,7.191533241854559e-05,0.266395286404462,0.1282188547592537
43,0.009648087645025928,0.06539033920183812,6.99107154198378e-05,0.2584220028072935,0.12785765090409448
44,0.009584721109399185,0.06429910863450557,6.829916244913168e-05,0.25606183056000426,0.12943839223361484
45,0.009548652719850557,0.06457614790062698,6.787888560211286e-05,0.2556170814740631,0.12960288352241703
46,0.00947377872271442,0.06388981087061159,6.755668606991235e-05,0.2534329429404611,0.12886606215261945
47,0.009369899910197918,0.06321737122698634,6.700661550332996e-05,0.2506823765627344,0.13219807063247643
48,0.009270439118545732,0.06243498518146524,6.69121376743539e-05,0.24791067916738688,0.13021406662814758
49,0.008990400152573689,0.06081732829230793,6.357426386028751e-05,0.24068890427131046,0.12823648736173032
