Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.05085682460681826,0.3124399561273753,0.036460037231827176,1.3660364824777855,0.27745158765830247
2,0.025068756784280607,0.266995304537797,0.022531689435576676,0.7909021296778138,0.2540733367935115
3,0.022731497300924535,0.24566274270381364,0.019407124917822677,0.719699813693694,0.23485559758310223
4,0.021263031143130807,0.23121570644726241,0.01720883852867452,0.6736851686904534,0.22649601394054936
5,0.020189753001405176,0.21894793466989435,0.01570912359010827,0.6384521156956775,0.220408466955026
6,0.01925766637287864,0.21000810147417975,0.014536138987253528,0.6096975681009217,0.20579439693806217
7,0.0184959881262247,0.20120869899393487,0.013450820204496367,0.5845792813222338,0.20149500616917423
8,0.0178240187652303,0.1940301470713083,0.012664696907466553,0.5631752191853958,0.19988154524973795
9,0.01719217656624709,0.18753404674334515,0.01163026790072556,0.5430078466925643,0.19162710252053597
10,0.016589459134446104,0.18076419015680195,0.010940296133632234,0.5234936691973366,0.1900377738855633
11,0.016054019575900396,0.17552294030547957,0.010325509400023698,0.5069288404526906,0.1861430999695086
12,0.015586538736470859,0.17017113850165608,0.009807178958007272,0.49170909323018885,0.1915746539392892
13,0.015096263333906871,0.16545150057329946,0.009144195336580663,0.47652096353929513,0.18206260725855827
14,0.014629704314220383,0.1599896968361457,0.00873556693443463,0.46131934987589,0.19050169918759197
15,0.014153569401347913,0.15574377856656468,0.008054833110593735,0.4468700001207191,0.18013619427003114
16,0.013794027519219286,0.1512675789059702,0.007591444322033753,0.4347395748069726,0.18280107893195807
17,0.013390987334775065,0.14763452265420102,0.007131101675944165,0.4225853711264823,0.17426270195374302
18,0.01307797385379672,0.1431960153959878,0.006660389711821541,0.41141588378332744,0.1801645202087421
19,0.012689293022235698,0.14043200491229602,0.006281627339254195,0.40049949178052113,0.16826881709344246
20,0.012418776301609815,0.1365368203313041,0.005770533956223484,0.39068288038694776,0.17197799244347742
21,0.012209810643533249,0.13421816068249573,0.005600265658578299,0.3840146402155891,0.17660698550296763
22,0.011956080183618042,0.13184297668635167,0.0052646583621469715,0.3762292387918622,0.17006794969533004
23,0.011780984737912451,0.1297585824355992,0.005063532515782184,0.370441808770485,0.16961822549209876
24,0.011572366682197348,0.12754992010381608,0.0046749938667750785,0.3636722483911927,0.17185362077811184
25,0.011372106123539557,0.1248571094728005,0.0045428542307034935,0.3568420864149487,0.16485496391268337
26,0.011091252705633877,0.12277468787782013,0.0041814958511950905,0.34878123908013037,0.1668732838303435
27,0.010977558247747158,0.12131330391269067,0.004024789177301894,0.3448892576887287,0.1631851323387202
28,0.010914823907779652,0.12012034613885206,0.0039694280934293065,0.342386252397421,0.16427254267767363
29,0.010656421721683802,0.11774585418114629,0.003627543787095125,0.3345018333345991,0.16331649878445795
