Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.2535411201773852,0.7623214671443427,0.0438514581005299,5.876995329161711,0.7526934555932587
2,0.11782518326642166,0.6761919837063157,0.024322173993075628,3.057017820028075,0.6690215170383453
3,0.10345602769973201,0.6062425649247571,0.0215929932574103,2.6969561064976495,0.6298845667465061
4,0.09699465810896188,0.569534117512931,0.01926403069032827,2.5286913102743025,0.6055630048116049
5,0.09062125256756036,0.5426818929392004,0.018082080203148797,2.373189010116397,0.5867107008017746
6,0.08763457597116675,0.5207402076156373,0.017601145775076467,2.2910328750458286,0.5619246994747835
7,0.08300218936098328,0.5003335226098062,0.016557482854571353,2.1769347993279373,0.5400266968736461
8,0.07923202484778229,0.48541585690339767,0.016252976008489354,2.0863093281661187,0.5187848514201594
9,0.07853797456177465,0.4720361828804016,0.01550497478118128,2.058300652305738,0.5131373089902541
10,0.07605796963281947,0.4569599548342016,0.014534051237301159,1.9926533905411636,0.5122982719365288
11,0.07321385435064182,0.44414706694509554,0.014300936648456681,1.9227250880966968,0.5048689368893119
12,0.07135942864289045,0.4327870732287883,0.013666498005933262,1.8736421536476031,0.521576884914847
13,0.06958304331181804,0.42178995449070505,0.012970131742375518,1.8264209413582753,0.5170603762654697
14,0.06799762609896329,0.4140928099801709,0.012708635905286581,1.786753967438309,0.48014122364567774
15,0.06612220183778597,0.40240576422024427,0.011974813281887282,1.736824611868022,0.4857516551718992
16,0.06534313630304195,0.3954026350127809,0.011594093667771794,1.7138594547816997,0.5029831762407341
17,0.06602810426553656,0.3961488595041436,0.011740217664213279,1.7284511679397356,0.480437660334157
18,0.06266502261263635,0.3838231885351733,0.011037850521233331,1.6481614879975286,0.4743124918610442
19,0.06163413118749246,0.3773587260539548,0.010566957207960935,1.6206083039759502,0.459007076772989
