Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.08694566413760185,0.22310091273388177,0.003231794452973576,1.965245992692022,0.2431016920828352
2,0.03081389994345656,0.2082904069461692,0.0011704725548540133,0.8257388743086121,0.22543356669884101
3,0.027899040622055393,0.19015374908686228,0.0009217528515741449,0.7490563152998618,0.19683212450906343
4,0.02581741927607422,0.17464160362517372,0.0007459159366625249,0.691735905673618,0.19371737422896365
5,0.024278545647155248,0.16522724400348707,0.0006516918460180843,0.6514498492817401,0.18455054245743097
6,0.024286410064862908,0.1614040382087638,0.0006519707372854411,0.6477842115052469,0.17770813522385617
7,0.022245424218340044,0.15090635846578992,0.0005110344587128338,0.5963258799292775,0.17706426978111267
8,0.020810226933152366,0.14245947306139867,0.0004538822702873617,0.5591178941020661,0.16259001560655295
9,0.02035125152097595,0.13617325630166263,0.0003808364108035655,0.5435791214872873,0.16571765057012147
10,0.019915505915939605,0.1334239999362711,0.0003767356452262156,0.5321108560355757,0.16153055210323894
11,0.01949619080718598,0.13100125347020142,0.0003646523009530631,0.5212897195699274,0.15873641170123043
12,0.019451659594944642,0.12951377719844392,0.00036843899340588377,0.5189154082251572,0.15425341430248
13,0.01867373557103658,0.12466660963375639,0.0003210409759007636,0.4984623608868866,0.15142056448202507
14,0.01773381183573081,0.11849602452714786,0.0002665863524733116,0.4734388469020435,0.15922599037488303
15,0.017620311886632226,0.11794516559613864,0.0002933527279463819,0.47064475738920764,0.14465628272178127
16,0.016719662156889473,0.11163394692818505,0.00023947146912182285,0.44626665948667393,0.141790170879925
17,0.017190371830427938,0.1125221898724115,0.0002852534978164695,0.45661488009069395,0.15662305173920651
18,0.01632600923382798,0.1103862447999333,0.00023121443018370258,0.43713764299835867,0.1478718348285731
19,0.015465639572450573,0.10337534187051864,0.00019156083514410599,0.41287969168199223,0.1395072416931975
20,0.014889250199707195,0.10006727363091124,0.0001857802270682781,0.39803805940515086,0.13588721056779227
21,0.014704660269069,0.09812599502011693,0.0001715127655188553,0.39239071285806104,0.13991846918475395
22,0.014282413409356716,0.09675066739931737,0.0001654459231516271,0.3825643819529809,0.13871224180740468
23,0.014167005735595874,0.09452505508153476,0.00016741852584567583,0.378032588996078,0.13473032955445496
24,0.01394877576848369,0.0934119686178846,0.00016756914630609168,0.3725550518899409,0.13404616508998124
25,0.013711631324053116,0.09126852177813276,0.00015865974482597044,0.3656598085321163,0.13298911104599634
26,0.013144596812372565,0.08876288697496905,0.00014205920473995442,0.35179688243496665,0.1334840075350275
27,0.013234792838874432,0.08884930230490438,0.00015204551354661087,0.3536972047459835,0.13328828063665651
28,0.012873995398937094,0.08625002086569888,0.00014526143032383355,0.34387519140993,0.1309685115428532
29,0.012331957616981179,0.08285263214676146,0.00011847808053058037,0.3296102612599697,0.129420189296498
30,0.012078190053726179,0.08122086823665471,0.00011542794529143361,0.3229000968582809,0.13147572398770088
31,0.011959789326130189,0.08046910540118032,0.00011120056514050132,0.31977609443162186,0.12904762126067104
32,0.011838972948784336,0.07930024691214595,0.00011558793676262117,0.3161952941082333,0.1314969346219418
33,0.011559708266951789,0.07774004184032084,0.00011904709803884274,0.3090532536285342,0.12866472978802287
34,0.011286021259046904,0.07581698107013399,9.193477479685023e-05,0.30162934089983245,0.12761982720272214
35,0.01089410469199028,0.07383154179892398,8.509690342760052e-05,0.29179873315782917,0.12796701008782668
36,0.010781850256365225,0.07262675420026844,8.552444805299644e-05,0.28834928388883424,0.12680763707441442
37,0.01067038622932988,0.07166101245510823,8.807127857021245e-05,0.28515680847108227,0.12708539749477424
38,0.010635611715732919,0.07118698309657243,8.202951245942282e-05,0.2839812472937862,0.1297186960776647
39,0.010489071339871607,0.0701464486556607,7.785299195660594e-05,0.28000572848224964,0.12658140355465458
40,0.010233330783796983,0.06862132044207805,8.091055714180014e-05,0.2733688464808301,0.12742807672304265
41,0.01009184980535867,0.06804261568738551,7.877876000882738e-05,0.26995839024968193,0.12661797830871507
42,0.010014911837226675,0.06699253133326294,7.953024666711576e-05,0.2673702991667261,0.12759514664318047
43,0.009698706746402627,0.06574008377918078,6.944398411097756e-05,0.25978366282168175,0.1262537793932008
44,0.009512132324876608,0.06391296747876735,6.287176039887715e-05,0.2542184858597764,0.12705359008966707
45,0.009529101133032581,0.06441705156295881,7.2301026945642e-05,0.25507137476379615,0.12651257669808819
46,0.009150766182037449,0.0618706292606432,5.8025880783368306e-05,0.24494397823522737,0.1264334567913822
47,0.009479536529066114,0.06355245048201437,6.90236098175059e-05,0.2532122047927765,0.1290779765330109
48,0.010283558744807773,0.06771449591955997,9.075693072901523e-05,0.2734764257280457,0.12587962620982937
49,0.010076609543038868,0.06560146442035336,9.519938404353894e-05,0.26722885430673804,0.1280776371850687
