loading annotations into memory...
Done (t=0.29s)
creating index...
index created!
loading annotations into memory...
Done (t=0.08s)
creating index...
index created!
Epoch: [1][1/220] | Time [5.534s (5.534s)] | Data [2.064s (2.064s)] | Focal Loss [0.8384 (0.8384)] | Dice Loss [0.1483 (0.1483)] | IoU Loss [0.0090 (0.0090)] | Total Loss [16.9248 (16.9248)]
Epoch: [1][2/220] | Time [0.482s (3.008s)] | Data [0.155s (1.109s)] | Focal Loss [0.3472 (0.5928)] | Dice Loss [0.1173 (0.1328)] | IoU Loss [0.0080 (0.0085)] | Total Loss [7.0697 (11.9972)]
Epoch: [1][3/220] | Time [0.397s (2.138s)] | Data [0.101s (0.773s)] | Focal Loss [0.3012 (0.4956)] | Dice Loss [0.2977 (0.1878)] | IoU Loss [0.0117 (0.0096)] | Total Loss [6.3328 (10.1091)]
Epoch: [1][4/220] | Time [0.549s (1.741s)] | Data [0.131s (0.613s)] | Focal Loss [0.5470 (0.5084)] | Dice Loss [0.1064 (0.1674)] | IoU Loss [0.0035 (0.0080)] | Total Loss [11.0502 (10.3444)]
Epoch: [1][5/220] | Time [0.407s (1.474s)] | Data [0.129s (0.516s)] | Focal Loss [0.1352 (0.4338)] | Dice Loss [0.2234 (0.1786)] | IoU Loss [0.0077 (0.0080)] | Total Loss [2.9349 (8.8625)]
Epoch: [1][6/220] | Time [0.405s (1.296s)] | Data [0.085s (0.444s)] | Focal Loss [0.3367 (0.4176)] | Dice Loss [0.0945 (0.1646)] | IoU Loss [0.0028 (0.0071)] | Total Loss [6.8313 (8.5239)]
Epoch: [1][7/220] | Time [0.397s (1.167s)] | Data [0.095s (0.394s)] | Focal Loss [0.2156 (0.3888)] | Dice Loss [0.1829 (0.1672)] | IoU Loss [0.0048 (0.0068)] | Total Loss [4.4998 (7.9491)]
Epoch: [1][8/220] | Time [0.504s (1.084s)] | Data [0.125s (0.361s)] | Focal Loss [0.3529 (0.3843)] | Dice Loss [0.1747 (0.1682)] | IoU Loss [0.0045 (0.0065)] | Total Loss [7.2376 (7.8601)]
Epoch: [1][9/220] | Time [0.463s (1.015s)] | Data [0.139s (0.336s)] | Focal Loss [0.2118 (0.3651)] | Dice Loss [0.1046 (0.1611)] | IoU Loss [0.0026 (0.0061)] | Total Loss [4.3434 (7.4694)]
Epoch: [1][10/220] | Time [0.377s (0.951s)] | Data [0.094s (0.312s)] | Focal Loss [0.2148 (0.3501)] | Dice Loss [0.2006 (0.1650)] | IoU Loss [0.0139 (0.0069)] | Total Loss [4.5108 (7.1735)]
Epoch: [1][11/220] | Time [0.437s (0.905s)] | Data [0.099s (0.292s)] | Focal Loss [0.2055 (0.3369)] | Dice Loss [0.1838 (0.1668)] | IoU Loss [0.0073 (0.0069)] | Total Loss [4.3015 (6.9124)]
Epoch: [1][12/220] | Time [0.361s (0.859s)] | Data [0.093s (0.276s)] | Focal Loss [0.0780 (0.3154)] | Dice Loss [0.3814 (0.1846)] | IoU Loss [0.0039 (0.0066)] | Total Loss [1.9462 (6.4986)]
Epoch: [1][13/220] | Time [0.350s (0.820s)] | Data [0.067s (0.260s)] | Focal Loss [0.1191 (0.3003)] | Dice Loss [0.3591 (0.1981)] | IoU Loss [0.0071 (0.0067)] | Total Loss [2.7490 (6.2102)]
Epoch: [1][14/220] | Time [0.425s (0.792s)] | Data [0.094s (0.248s)] | Focal Loss [0.2102 (0.2938)] | Dice Loss [0.4131 (0.2134)] | IoU Loss [0.0056 (0.0066)] | Total Loss [4.6220 (6.0967)]
Epoch: [1][15/220] | Time [0.461s (0.770s)] | Data [0.123s (0.240s)] | Focal Loss [0.1101 (0.2816)] | Dice Loss [0.2304 (0.2146)] | IoU Loss [0.0026 (0.0063)] | Total Loss [2.4341 (5.8525)]
Epoch: [1][16/220] | Time [0.390s (0.746s)] | Data [0.102s (0.231s)] | Focal Loss [0.0647 (0.2680)] | Dice Loss [0.5512 (0.2356)] | IoU Loss [0.0105 (0.0066)] | Total Loss [1.8550 (5.6027)]
Epoch: [1][17/220] | Time [0.467s (0.730s)] | Data [0.110s (0.224s)] | Focal Loss [0.1531 (0.2613)] | Dice Loss [0.4320 (0.2472)] | IoU Loss [0.0033 (0.0064)] | Total Loss [3.4971 (5.4788)]
Epoch: [1][18/220] | Time [0.448s (0.714s)] | Data [0.129s (0.219s)] | Focal Loss [0.0768 (0.2510)] | Dice Loss [0.1467 (0.2416)] | IoU Loss [0.0024 (0.0062)] | Total Loss [1.6855 (5.2681)]
Epoch: [1][19/220] | Time [0.457s (0.701s)] | Data [0.114s (0.213s)] | Focal Loss [0.0854 (0.2423)] | Dice Loss [0.2570 (0.2424)] | IoU Loss [0.0031 (0.0060)] | Total Loss [1.9685 (5.0944)]
Epoch: [1][20/220] | Time [0.395s (0.685s)] | Data [0.107s (0.208s)] | Focal Loss [0.0571 (0.2330)] | Dice Loss [0.2500 (0.2428)] | IoU Loss [0.0054 (0.0060)] | Total Loss [1.3969 (4.9096)]
Epoch: [1][21/220] | Time [0.472s (0.675s)] | Data [0.108s (0.203s)] | Focal Loss [0.0790 (0.2257)] | Dice Loss [0.1453 (0.2381)] | IoU Loss [0.0010 (0.0057)] | Total Loss [1.7262 (4.7580)]
Epoch: [1][22/220] | Time [0.676s (0.675s)] | Data [0.200s (0.203s)] | Focal Loss [0.1695 (0.2232)] | Dice Loss [0.2099 (0.2368)] | IoU Loss [0.0038 (0.0057)] | Total Loss [3.6044 (4.7055)]
Epoch: [1][23/220] | Time [0.546s (0.670s)] | Data [0.188s (0.202s)] | Focal Loss [0.0973 (0.2177)] | Dice Loss [0.2033 (0.2354)] | IoU Loss [0.0059 (0.0057)] | Total Loss [2.1543 (4.5946)]
Epoch: [1][24/220] | Time [0.390s (0.658s)] | Data [0.104s (0.198s)] | Focal Loss [0.0529 (0.2108)] | Dice Loss [0.5551 (0.2487)] | IoU Loss [0.0123 (0.0059)] | Total Loss [1.6262 (4.4709)]
Epoch: [1][25/220] | Time [0.543s (0.653s)] | Data [0.131s (0.195s)] | Focal Loss [0.0700 (0.2052)] | Dice Loss [0.1811 (0.2460)] | IoU Loss [0.0026 (0.0058)] | Total Loss [1.5832 (4.3554)]
Epoch: [1][26/220] | Time [0.474s (0.646s)] | Data [0.146s (0.194s)] | Focal Loss [0.1002 (0.2011)] | Dice Loss [0.6263 (0.2606)] | IoU Loss [0.0065 (0.0058)] | Total Loss [2.6378 (4.2894)]
Epoch: [1][27/220] | Time [0.556s (0.643s)] | Data [0.152s (0.192s)] | Focal Loss [0.0580 (0.1958)] | Dice Loss [0.2036 (0.2585)] | IoU Loss [0.0042 (0.0058)] | Total Loss [1.3684 (4.1812)]
Epoch: [1][28/220] | Time [0.425s (0.635s)] | Data [0.128s (0.190s)] | Focal Loss [0.0402 (0.1903)] | Dice Loss [0.4099 (0.2639)] | IoU Loss [0.0033 (0.0057)] | Total Loss [1.2163 (4.0753)]
Epoch: [1][29/220] | Time [0.408s (0.627s)] | Data [0.091s (0.186s)] | Focal Loss [0.0337 (0.1849)] | Dice Loss [0.1480 (0.2599)] | IoU Loss [0.0014 (0.0055)] | Total Loss [0.8238 (3.9632)]
Epoch: [1][30/220] | Time [0.479s (0.623s)] | Data [0.123s (0.184s)] | Focal Loss [0.1170 (0.1826)] | Dice Loss [0.4475 (0.2662)] | IoU Loss [0.0076 (0.0056)] | Total Loss [2.7941 (3.9242)]
Epoch: [1][31/220] | Time [0.503s (0.619s)] | Data [0.140s (0.183s)] | Focal Loss [0.0662 (0.1789)] | Dice Loss [0.3480 (0.2688)] | IoU Loss [0.0041 (0.0056)] | Total Loss [1.6756 (3.8517)]
Epoch: [1][32/220] | Time [0.479s (0.614s)] | Data [0.137s (0.181s)] | Focal Loss [0.0509 (0.1749)] | Dice Loss [0.2960 (0.2697)] | IoU Loss [0.0054 (0.0056)] | Total Loss [1.3191 (3.7725)]
Epoch: [1][33/220] | Time [0.552s (0.612s)] | Data [0.151s (0.180s)] | Focal Loss [0.0639 (0.1715)] | Dice Loss [0.2904 (0.2703)] | IoU Loss [0.0045 (0.0055)] | Total Loss [1.5719 (3.7058)]
Epoch: [1][34/220] | Time [0.444s (0.607s)] | Data [0.133s (0.179s)] | Focal Loss [0.0446 (0.1678)] | Dice Loss [0.4363 (0.2752)] | IoU Loss [0.0028 (0.0054)] | Total Loss [1.3321 (3.6360)]
Epoch: [1][35/220] | Time [0.564s (0.606s)] | Data [0.143s (0.178s)] | Focal Loss [0.0814 (0.1653)] | Dice Loss [0.3711 (0.2779)] | IoU Loss [0.0062 (0.0055)] | Total Loss [2.0046 (3.5894)]
Epoch: [1][36/220] | Time [0.594s (0.606s)] | Data [0.187s (0.178s)] | Focal Loss [0.0530 (0.1622)] | Dice Loss [0.2982 (0.2785)] | IoU Loss [0.0071 (0.0055)] | Total Loss [1.3652 (3.5276)]
Epoch: [1][37/220] | Time [0.415s (0.601s)] | Data [0.126s (0.177s)] | Focal Loss [0.0328 (0.1587)] | Dice Loss [0.5625 (0.2862)] | IoU Loss [0.0046 (0.0055)] | Total Loss [1.2227 (3.4653)]
Epoch: [1][38/220] | Time [0.483s (0.598s)] | Data [0.113s (0.175s)] | Focal Loss [0.0651 (0.1562)] | Dice Loss [0.4370 (0.2901)] | IoU Loss [0.0067 (0.0055)] | Total Loss [1.7463 (3.4201)]
Epoch: [1][39/220] | Time [0.527s (0.596s)] | Data [0.152s (0.175s)] | Focal Loss [0.0499 (0.1535)] | Dice Loss [0.3190 (0.2909)] | IoU Loss [0.0062 (0.0055)] | Total Loss [1.3228 (3.3663)]
Epoch: [1][40/220] | Time [0.482s (0.593s)] | Data [0.139s (0.174s)] | Focal Loss [0.0554 (0.1510)] | Dice Loss [0.3661 (0.2927)] | IoU Loss [0.0093 (0.0056)] | Total Loss [1.4835 (3.3192)]
Epoch: [1][41/220] | Time [0.472s (0.590s)] | Data [0.128s (0.173s)] | Focal Loss [0.0504 (0.1486)] | Dice Loss [0.4101 (0.2956)] | IoU Loss [0.0057 (0.0056)] | Total Loss [1.4238 (3.2730)]
Epoch: [1][42/220] | Time [0.416s (0.586s)] | Data [0.108s (0.171s)] | Focal Loss [0.0358 (0.1459)] | Dice Loss [0.2581 (0.2947)] | IoU Loss [0.0020 (0.0055)] | Total Loss [0.9759 (3.2183)]
Epoch: [1][43/220] | Time [0.409s (0.582s)] | Data [0.095s (0.169s)] | Focal Loss [0.0419 (0.1435)] | Dice Loss [0.3718 (0.2965)] | IoU Loss [0.0056 (0.0055)] | Total Loss [1.2158 (3.1718)]
Epoch: [1][44/220] | Time [0.537s (0.581s)] | Data [0.141s (0.169s)] | Focal Loss [0.0657 (0.1417)] | Dice Loss [0.3590 (0.2979)] | IoU Loss [0.0034 (0.0055)] | Total Loss [1.6766 (3.1378)]
Epoch: [1][45/220] | Time [0.487s (0.579s)] | Data [0.147s (0.168s)] | Focal Loss [0.0426 (0.1395)] | Dice Loss [0.3466 (0.2990)] | IoU Loss [0.0031 (0.0054)] | Total Loss [1.2019 (3.0948)]
Epoch: [1][46/220] | Time [0.458s (0.576s)] | Data [0.120s (0.167s)] | Focal Loss [0.0455 (0.1375)] | Dice Loss [0.2033 (0.2969)] | IoU Loss [0.0015 (0.0054)] | Total Loss [1.1157 (3.0517)]
Epoch: [1][47/220] | Time [0.524s (0.575s)] | Data [0.137s (0.166s)] | Focal Loss [0.0668 (0.1360)] | Dice Loss [0.2108 (0.2951)] | IoU Loss [0.0018 (0.0053)] | Total Loss [1.5489 (3.0198)]
Epoch: [1][48/220] | Time [0.681s (0.577s)] | Data [0.202s (0.167s)] | Focal Loss [0.0748 (0.1347)] | Dice Loss [0.2977 (0.2952)] | IoU Loss [0.0039 (0.0053)] | Total Loss [1.7982 (2.9943)]
Epoch: [1][49/220] | Time [0.507s (0.576s)] | Data [0.179s (0.167s)] | Focal Loss [0.0400 (0.1328)] | Dice Loss [0.2176 (0.2936)] | IoU Loss [0.0014 (0.0052)] | Total Loss [1.0182 (2.9540)]
Epoch: [1][50/220] | Time [0.415s (0.572s)] | Data [0.101s (0.166s)] | Focal Loss [0.0356 (0.1308)] | Dice Loss [0.2963 (0.2936)] | IoU Loss [0.0027 (0.0051)] | Total Loss [1.0119 (2.9151)]
Epoch: [1][51/220] | Time [0.522s (0.571s)] | Data [0.131s (0.165s)] | Focal Loss [0.0315 (0.1289)] | Dice Loss [0.2009 (0.2918)] | IoU Loss [0.0028 (0.0051)] | Total Loss [0.8329 (2.8743)]
Epoch: [1][52/220] | Time [0.481s (0.570s)] | Data [0.146s (0.165s)] | Focal Loss [0.0355 (0.1271)] | Dice Loss [0.2803 (0.2916)] | IoU Loss [0.0030 (0.0050)] | Total Loss [0.9937 (2.8381)]
Epoch: [1][53/220] | Time [0.567s (0.570s)] | Data [0.152s (0.165s)] | Focal Loss [0.0655 (0.1259)] | Dice Loss [0.3070 (0.2919)] | IoU Loss [0.0046 (0.0050)] | Total Loss [1.6210 (2.8152)]
Epoch: [1][54/220] | Time [0.387s (0.566s)] | Data [0.120s (0.164s)] | Focal Loss [0.0324 (0.1242)] | Dice Loss [0.3506 (0.2930)] | IoU Loss [0.0047 (0.0050)] | Total Loss [1.0031 (2.7816)]
Epoch: [1][55/220] | Time [0.496s (0.565s)] | Data [0.112s (0.163s)] | Focal Loss [0.0569 (0.1230)] | Dice Loss [0.2854 (0.2928)] | IoU Loss [0.0019 (0.0050)] | Total Loss [1.4243 (2.7569)]
Epoch: [1][56/220] | Time [0.444s (0.563s)] | Data [0.130s (0.162s)] | Focal Loss [0.0296 (0.1213)] | Dice Loss [0.2376 (0.2918)] | IoU Loss [0.0024 (0.0049)] | Total Loss [0.8318 (2.7226)]
