loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.637s (3.637s)] | Data [1.943s (1.943s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.724s (2.180s)] | Data [0.150s (1.046s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.643s (1.668s)] | Data [0.099s (0.731s)] | Focal Loss [0.3619 (0.5798)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4534 (11.7503)]
Epoch: [1][4/220] | Time [0.808s (1.453s)] | Data [0.142s (0.583s)] | Focal Loss [0.7166 (0.6140)] | Dice Loss [0.0992 (0.1353)] | IoU Loss [0.0023 (0.0051)] | Total Loss [14.4330 (12.4210)]
Epoch: [1][5/220] | Time [0.659s (1.294s)] | Data [0.133s (0.493s)] | Focal Loss [0.2007 (0.5314)] | Dice Loss [0.1961 (0.1474)] | IoU Loss [0.0100 (0.0061)] | Total Loss [4.2196 (10.7807)]
Epoch: [1][6/220] | Time [0.657s (1.188s)] | Data [0.090s (0.426s)] | Focal Loss [0.4301 (0.5145)] | Dice Loss [0.0824 (0.1366)] | IoU Loss [0.0025 (0.0055)] | Total Loss [8.6860 (10.4316)]
Epoch: [1][7/220] | Time [0.649s (1.111s)] | Data [0.101s (0.380s)] | Focal Loss [0.2468 (0.4762)] | Dice Loss [0.1394 (0.1370)] | IoU Loss [0.0042 (0.0053)] | Total Loss [5.0803 (9.6671)]
Epoch: [1][8/220] | Time [0.754s (1.066s)] | Data [0.124s (0.348s)] | Focal Loss [0.4991 (0.4791)] | Dice Loss [0.1497 (0.1386)] | IoU Loss [0.0075 (0.0056)] | Total Loss [10.1386 (9.7261)]
Epoch: [1][9/220] | Time [0.699s (1.026s)] | Data [0.128s (0.323s)] | Focal Loss [0.2711 (0.4560)] | Dice Loss [0.0923 (0.1335)] | IoU Loss [0.0029 (0.0053)] | Total Loss [5.5168 (9.2584)]
Epoch: [1][10/220] | Time [0.627s (0.986s)] | Data [0.095s (0.300s)] | Focal Loss [0.1662 (0.4270)] | Dice Loss [0.1275 (0.1329)] | IoU Loss [0.0092 (0.0057)] | Total Loss [3.4603 (8.6786)]
Epoch: [1][11/220] | Time [0.688s (0.959s)] | Data [0.104s (0.283s)] | Focal Loss [0.1880 (0.4053)] | Dice Loss [0.1134 (0.1311)] | IoU Loss [0.0020 (0.0053)] | Total Loss [3.8759 (8.2420)]
