loading annotations into memory...
Done (t=0.50s)
creating index...
index created!
loading annotations into memory...
Done (t=0.28s)
creating index...
index created!
Epoch: [1][1/220] | Time [4.384s (4.384s)] | Data [3.369s (3.369s)] | Focal Loss [19.9633 (19.9633)] | Dice Loss [1.4628 (1.4628)] | IoU Loss [0.4962 (0.4962)] | Total Loss [401.2245 (401.2245)]
Epoch: [1][2/220] | Time [0.555s (2.470s)] | Data [0.228s (1.799s)] | Focal Loss [7.6705 (13.8169)] | Dice Loss [1.3320 (1.3974)] | IoU Loss [0.4813 (0.4887)] | Total Loss [155.2242 (278.2244)]
Epoch: [1][3/220] | Time [0.525s (1.821s)] | Data [0.203s (1.267s)] | Focal Loss [8.0495 (11.8944)] | Dice Loss [1.3802 (1.3917)] | IoU Loss [0.4951 (0.4909)] | Total Loss [162.8653 (239.7713)]
Epoch: [1][4/220] | Time [0.647s (1.528s)] | Data [0.255s (1.014s)] | Focal Loss [11.2441 (11.7319)] | Dice Loss [1.4998 (1.4187)] | IoU Loss [0.4477 (0.4801)] | Total Loss [226.8302 (236.5361)]
Epoch: [1][5/220] | Time [0.675s (1.357s)] | Data [0.357s (0.883s)] | Focal Loss [10.1236 (11.4102)] | Dice Loss [1.4898 (1.4329)] | IoU Loss [0.4895 (0.4819)] | Total Loss [204.4520 (230.1193)]
Epoch: [1][6/220] | Time [0.527s (1.219s)] | Data [0.189s (0.767s)] | Focal Loss [13.0879 (11.6898)] | Dice Loss [1.5746 (1.4565)] | IoU Loss [0.4983 (0.4847)] | Total Loss [263.8310 (235.7379)]
Epoch: [1][7/220] | Time [0.569s (1.126s)] | Data [0.243s (0.692s)] | Focal Loss [13.7732 (11.9875)] | Dice Loss [1.4276 (1.4524)] | IoU Loss [0.4984 (0.4866)] | Total Loss [277.3897 (241.6881)]
Epoch: [1][8/220] | Time [0.621s (1.063s)] | Data [0.244s (0.636s)] | Focal Loss [13.1815 (12.1367)] | Dice Loss [1.3599 (1.4408)] | IoU Loss [0.4792 (0.4857)] | Total Loss [265.4696 (244.6608)]
Epoch: [1][9/220] | Time [0.686s (1.021s)] | Data [0.348s (0.604s)] | Focal Loss [9.0629 (11.7952)] | Dice Loss [1.5002 (1.4474)] | IoU Loss [0.4746 (0.4845)] | Total Loss [183.2331 (237.8355)]
Epoch: [1][10/220] | Time [0.573s (0.976s)] | Data [0.223s (0.566s)] | Focal Loss [5.6526 (11.1809)] | Dice Loss [1.3075 (1.4334)] | IoU Loss [0.4663 (0.4827)] | Total Loss [114.8259 (225.5346)]
Epoch: [1][11/220] | Time [0.474s (0.931s)] | Data [0.130s (0.526s)] | Focal Loss [13.2325 (11.3674)] | Dice Loss [1.2924 (1.4206)] | IoU Loss [0.4407 (0.4788)] | Total Loss [266.3825 (229.2480)]
Epoch: [1][12/220] | Time [0.541s (0.898s)] | Data [0.231s (0.502s)] | Focal Loss [8.4203 (11.1218)] | Dice Loss [1.2525 (1.4066)] | IoU Loss [0.4571 (0.4770)] | Total Loss [170.1165 (224.3204)]
Epoch: [1][13/220] | Time [0.454s (0.864s)] | Data [0.139s (0.474s)] | Focal Loss [8.4616 (10.9172)] | Dice Loss [1.4026 (1.4063)] | IoU Loss [0.4323 (0.4736)] | Total Loss [171.0675 (220.2240)]
Epoch: [1][14/220] | Time [0.511s (0.839s)] | Data [0.180s (0.453s)] | Focal Loss [10.4787 (10.8859)] | Dice Loss [1.5324 (1.4153)] | IoU Loss [0.4388 (0.4711)] | Total Loss [211.5454 (219.6041)]
Epoch: [1][15/220] | Time [0.607s (0.823s)] | Data [0.265s (0.440s)] | Focal Loss [10.6779 (10.8720)] | Dice Loss [1.4115 (1.4151)] | IoU Loss [0.4238 (0.4679)] | Total Loss [215.3938 (219.3234)]
Epoch: [1][16/220] | Time [0.564s (0.807s)] | Data [0.248s (0.428s)] | Focal Loss [4.1173 (10.4499)] | Dice Loss [1.4608 (1.4179)] | IoU Loss [0.4263 (0.4653)] | Total Loss [84.2337 (210.8803)]
Epoch: [1][17/220] | Time [0.544s (0.792s)] | Data [0.192s (0.414s)] | Focal Loss [9.7185 (10.4068)] | Dice Loss [1.4252 (1.4183)] | IoU Loss [0.4255 (0.4630)] | Total Loss [196.2206 (210.0180)]
Epoch: [1][18/220] | Time [0.626s (0.782s)] | Data [0.288s (0.407s)] | Focal Loss [11.7089 (10.4792)] | Dice Loss [1.3283 (1.4133)] | IoU Loss [0.3710 (0.4579)] | Total Loss [235.8771 (211.4546)]
Epoch: [1][19/220] | Time [0.600s (0.773s)] | Data [0.256s (0.399s)] | Focal Loss [7.3784 (10.3160)] | Dice Loss [1.4306 (1.4142)] | IoU Loss [0.3960 (0.4546)] | Total Loss [149.3950 (208.1883)]
Epoch: [1][20/220] | Time [0.546s (0.761s)] | Data [0.242s (0.392s)] | Focal Loss [3.8219 (9.9913)] | Dice Loss [1.3267 (1.4099)] | IoU Loss [0.3488 (0.4493)] | Total Loss [78.1139 (201.6846)]
Epoch: [1][21/220] | Time [0.604s (0.754s)] | Data [0.235s (0.384s)] | Focal Loss [9.6011 (9.9727)] | Dice Loss [1.5630 (1.4172)] | IoU Loss [0.3925 (0.4466)] | Total Loss [193.9775 (201.3176)]
Epoch: [1][22/220] | Time [0.905s (0.761s)] | Data [0.438s (0.387s)] | Focal Loss [10.7581 (10.0084)] | Dice Loss [1.4866 (1.4203)] | IoU Loss [0.3501 (0.4422)] | Total Loss [216.9993 (202.0304)]
Epoch: [1][23/220] | Time [0.850s (0.765s)] | Data [0.491s (0.391s)] | Focal Loss [6.1885 (9.8423)] | Dice Loss [1.3612 (1.4177)] | IoU Loss [0.3300 (0.4374)] | Total Loss [125.4604 (198.7013)]
Epoch: [1][24/220] | Time [0.608s (0.758s)] | Data [0.289s (0.387s)] | Focal Loss [3.9886 (9.5984)] | Dice Loss [1.5264 (1.4223)] | IoU Loss [0.3744 (0.4347)] | Total Loss [81.6730 (193.8251)]
Epoch: [1][25/220] | Time [0.653s (0.754s)] | Data [0.245s (0.381s)] | Focal Loss [5.8961 (9.4503)] | Dice Loss [1.5317 (1.4267)] | IoU Loss [0.3113 (0.4298)] | Total Loss [119.7642 (190.8626)]
Epoch: [1][26/220] | Time [0.755s (0.754s)] | Data [0.416s (0.382s)] | Focal Loss [5.3956 (9.2944)] | Dice Loss [1.6515 (1.4353)] | IoU Loss [0.3507 (0.4268)] | Total Loss [109.9147 (187.7493)]
Epoch: [1][27/220] | Time [0.691s (0.752s)] | Data [0.303s (0.380s)] | Focal Loss [5.6476 (9.1593)] | Dice Loss [1.4632 (1.4363)] | IoU Loss [0.3146 (0.4226)] | Total Loss [114.7293 (185.0448)]
