loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.686s (3.686s)] | Data [1.976s (1.976s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.721s (2.204s)] | Data [0.149s (1.063s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.638s (1.682s)] | Data [0.098s (0.741s)] | Focal Loss [0.3620 (0.5799)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4553 (11.7509)]
Epoch: [1][4/220] | Time [0.800s (1.461s)] | Data [0.137s (0.590s)] | Focal Loss [0.6972 (0.6092)] | Dice Loss [0.0986 (0.1352)] | IoU Loss [0.0022 (0.0051)] | Total Loss [14.0452 (12.3245)]
Epoch: [1][5/220] | Time [0.653s (1.300s)] | Data [0.131s (0.498s)] | Focal Loss [0.1599 (0.5193)] | Dice Loss [0.1716 (0.1424)] | IoU Loss [0.0092 (0.0059)] | Total Loss [3.3783 (10.5353)]
Epoch: [1][6/220] | Time [0.654s (1.192s)] | Data [0.088s (0.430s)] | Focal Loss [0.2441 (0.4735)] | Dice Loss [0.0750 (0.1312)] | IoU Loss [0.0011 (0.0051)] | Total Loss [4.9584 (9.6058)]
Epoch: [1][7/220] | Time [0.646s (1.114s)] | Data [0.099s (0.383s)] | Focal Loss [0.1654 (0.4295)] | Dice Loss [0.1356 (0.1318)] | IoU Loss [0.0033 (0.0048)] | Total Loss [3.4466 (8.7259)]
Epoch: [1][8/220] | Time [0.748s (1.068s)] | Data [0.123s (0.350s)] | Focal Loss [0.3702 (0.4220)] | Dice Loss [0.1487 (0.1339)] | IoU Loss [0.0061 (0.0050)] | Total Loss [7.5582 (8.5799)]
Epoch: [1][9/220] | Time [0.696s (1.027s)] | Data [0.126s (0.325s)] | Focal Loss [0.2104 (0.3985)] | Dice Loss [0.0978 (0.1299)] | IoU Loss [0.0024 (0.0047)] | Total Loss [4.3073 (8.1052)]
Epoch: [1][10/220] | Time [0.627s (0.987s)] | Data [0.093s (0.302s)] | Focal Loss [0.1320 (0.3719)] | Dice Loss [0.1365 (0.1306)] | IoU Loss [0.0078 (0.0050)] | Total Loss [2.7847 (7.5731)]
Epoch: [1][11/220] | Time [0.685s (0.960s)] | Data [0.102s (0.284s)] | Focal Loss [0.1346 (0.3503)] | Dice Loss [0.1180 (0.1294)] | IoU Loss [0.0017 (0.0047)] | Total Loss [2.8120 (7.1403)]
Epoch: [1][12/220] | Time [0.613s (0.931s)] | Data [0.097s (0.268s)] | Focal Loss [0.0718 (0.3271)] | Dice Loss [0.2144 (0.1365)] | IoU Loss [0.0044 (0.0047)] | Total Loss [1.6551 (6.6832)]
Epoch: [1][13/220] | Time [0.602s (0.905s)] | Data [0.072s (0.253s)] | Focal Loss [0.0756 (0.3078)] | Dice Loss [0.1439 (0.1371)] | IoU Loss [0.0041 (0.0046)] | Total Loss [1.6609 (6.2969)]
Epoch: [1][14/220] | Time [0.678s (0.889s)] | Data [0.097s (0.242s)] | Focal Loss [0.1830 (0.2988)] | Dice Loss [0.2448 (0.1448)] | IoU Loss [0.0029 (0.0045)] | Total Loss [3.9075 (6.1262)]
Epoch: [1][15/220] | Time [0.700s (0.877s)] | Data [0.118s (0.234s)] | Focal Loss [0.1089 (0.2862)] | Dice Loss [0.1610 (0.1459)] | IoU Loss [0.0046 (0.0045)] | Total Loss [2.3436 (5.8740)]
Epoch: [1][16/220] | Time [0.639s (0.862s)] | Data [0.104s (0.226s)] | Focal Loss [0.0752 (0.2730)] | Dice Loss [0.2908 (0.1549)] | IoU Loss [0.0111 (0.0049)] | Total Loss [1.8057 (5.6198)]
Epoch: [1][17/220] | Time [0.707s (0.853s)] | Data [0.108s (0.219s)] | Focal Loss [0.1068 (0.2632)] | Dice Loss [0.1960 (0.1573)] | IoU Loss [0.0051 (0.0049)] | Total Loss [2.3365 (5.4266)]
Epoch: [1][18/220] | Time [0.688s (0.843s)] | Data [0.122s (0.213s)] | Focal Loss [0.0600 (0.2519)] | Dice Loss [0.1368 (0.1562)] | IoU Loss [0.0034 (0.0049)] | Total Loss [1.3403 (5.1996)]
