loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [2.906s (2.906s)] | Data [1.941s (1.941s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.458s (1.682s)] | Data [0.145s (1.043s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.466s (1.277s)] | Data [0.133s (0.740s)] | Focal Loss [0.4043 (0.5698)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2959 (11.5442)]
Epoch: [1][4/220] | Time [0.467s (1.074s)] | Data [0.119s (0.585s)] | Focal Loss [0.6231 (0.5831)] | Dice Loss [0.1021 (0.1327)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.5673 (11.8000)]
Epoch: [1][5/220] | Time [0.511s (0.962s)] | Data [0.217s (0.511s)] | Focal Loss [0.1292 (0.4923)] | Dice Loss [0.1556 (0.1373)] | IoU Loss [0.0055 (0.0049)] | Total Loss [2.7457 (9.9891)]
Epoch: [1][6/220] | Time [0.396s (0.868s)] | Data [0.093s (0.441s)] | Focal Loss [0.4312 (0.4822)] | Dice Loss [0.0839 (0.1284)] | IoU Loss [0.0016 (0.0043)] | Total Loss [8.7100 (9.7759)]
Epoch: [1][7/220] | Time [0.439s (0.806s)] | Data [0.134s (0.397s)] | Focal Loss [0.2678 (0.4515)] | Dice Loss [0.1401 (0.1301)] | IoU Loss [0.0036 (0.0042)] | Total Loss [5.4989 (9.1649)]
Epoch: [1][8/220] | Time [0.470s (0.764s)] | Data [0.139s (0.365s)] | Focal Loss [0.5789 (0.4674)] | Dice Loss [0.1569 (0.1334)] | IoU Loss [0.0073 (0.0046)] | Total Loss [11.7415 (9.4870)]
Epoch: [1][9/220] | Time [0.509s (0.736s)] | Data [0.197s (0.347s)] | Focal Loss [0.4040 (0.4604)] | Dice Loss [0.0909 (0.1287)] | IoU Loss [0.0034 (0.0045)] | Total Loss [8.1735 (9.3410)]
Epoch: [1][10/220] | Time [0.429s (0.705s)] | Data [0.129s (0.325s)] | Focal Loss [0.2561 (0.4400)] | Dice Loss [0.1150 (0.1273)] | IoU Loss [0.0110 (0.0051)] | Total Loss [5.2480 (8.9317)]
Epoch: [1][11/220] | Time [0.428s (0.680s)] | Data [0.109s (0.305s)] | Focal Loss [0.4251 (0.4386)] | Dice Loss [0.1161 (0.1263)] | IoU Loss [0.0054 (0.0051)] | Total Loss [8.6234 (8.9037)]
Epoch: [1][12/220] | Time [0.412s (0.658s)] | Data [0.133s (0.291s)] | Focal Loss [0.1580 (0.4152)] | Dice Loss [0.1920 (0.1318)] | IoU Loss [0.0036 (0.0050)] | Total Loss [3.3562 (8.4414)]
Epoch: [1][13/220] | Time [0.370s (0.636s)] | Data [0.085s (0.275s)] | Focal Loss [0.2670 (0.4038)] | Dice Loss [0.1396 (0.1324)] | IoU Loss [0.0082 (0.0053)] | Total Loss [5.4875 (8.2142)]
Epoch: [1][14/220] | Time [0.428s (0.621s)] | Data [0.119s (0.264s)] | Focal Loss [0.4130 (0.4045)] | Dice Loss [0.2107 (0.1380)] | IoU Loss [0.0062 (0.0053)] | Total Loss [8.4761 (8.2329)]
Epoch: [1][15/220] | Time [0.481s (0.611s)] | Data [0.166s (0.257s)] | Focal Loss [0.3401 (0.4002)] | Dice Loss [0.1341 (0.1377)] | IoU Loss [0.0032 (0.0052)] | Total Loss [6.9394 (8.1467)]
Epoch: [1][16/220] | Time [0.446s (0.601s)] | Data [0.144s (0.250s)] | Focal Loss [0.3079 (0.3944)] | Dice Loss [0.2323 (0.1436)] | IoU Loss [0.0161 (0.0059)] | Total Loss [6.4064 (8.0379)]
Epoch: [1][17/220] | Time [0.439s (0.591s)] | Data [0.122s (0.243s)] | Focal Loss [0.4453 (0.3974)] | Dice Loss [0.1346 (0.1431)] | IoU Loss [0.0041 (0.0058)] | Total Loss [9.0451 (8.0972)]
Epoch: [1][18/220] | Time [0.480s (0.585s)] | Data [0.184s (0.239s)] | Focal Loss [0.2418 (0.3888)] | Dice Loss [0.0800 (0.1396)] | IoU Loss [0.0024 (0.0056)] | Total Loss [4.9187 (7.9206)]
Epoch: [1][19/220] | Time [0.474s (0.579s)] | Data [0.158s (0.235s)] | Focal Loss [0.4681 (0.3929)] | Dice Loss [0.1765 (0.1415)] | IoU Loss [0.0089 (0.0058)] | Total Loss [9.5482 (8.0062)]
Epoch: [1][20/220] | Time [0.443s (0.573s)] | Data [0.155s (0.231s)] | Focal Loss [0.2279 (0.3847)] | Dice Loss [0.1536 (0.1421)] | IoU Loss [0.0068 (0.0058)] | Total Loss [4.7176 (7.8418)]
Epoch: [1][21/220] | Time [0.456s (0.567s)] | Data [0.136s (0.227s)] | Focal Loss [0.5540 (0.3928)] | Dice Loss [0.0842 (0.1394)] | IoU Loss [0.0013 (0.0056)] | Total Loss [11.1654 (8.0001)]
Epoch: [1][22/220] | Time [0.619s (0.569s)] | Data [0.252s (0.228s)] | Focal Loss [1.2037 (0.4296)] | Dice Loss [0.1331 (0.1391)] | IoU Loss [0.0042 (0.0055)] | Total Loss [24.2118 (8.7370)]
Epoch: [1][23/220] | Time [0.617s (0.572s)] | Data [0.305s (0.231s)] | Focal Loss [0.3963 (0.4282)] | Dice Loss [0.0928 (0.1371)] | IoU Loss [0.0034 (0.0054)] | Total Loss [8.0217 (8.7059)]
Epoch: [1][24/220] | Time [0.460s (0.567s)] | Data [0.172s (0.229s)] | Focal Loss [0.1864 (0.4181)] | Dice Loss [0.1898 (0.1393)] | IoU Loss [0.0059 (0.0055)] | Total Loss [3.9239 (8.5066)]
Epoch: [1][25/220] | Time [0.488s (0.564s)] | Data [0.151s (0.226s)] | Focal Loss [0.6135 (0.4259)] | Dice Loss [0.1226 (0.1386)] | IoU Loss [0.0046 (0.0054)] | Total Loss [12.3970 (8.6622)]
Epoch: [1][26/220] | Time [0.543s (0.563s)] | Data [0.231s (0.226s)] | Focal Loss [0.4256 (0.4259)] | Dice Loss [0.2048 (0.1412)] | IoU Loss [0.0052 (0.0054)] | Total Loss [8.7219 (8.6645)]
