Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.44149594042865997,0.7047858130959009,0.0063525408353648045,9.541057142418447,1.1006660800354153
2,0.21156273395298283,0.7596321472545963,0.007423561424916453,4.998310379667,0.87922036355617
3,0.17674953960612044,0.6498520188288156,0.005250739902130631,4.190093543372013,0.7314117626816619
4,0.15231255759275042,0.562613491181089,0.0032044751802989724,3.612069099530544,0.7050014824843874
5,0.14341157128300375,0.5327125823036142,0.0030245730857065708,3.4039685894525133,0.6618602626463946
6,0.17775662681236354,0.6421843499691992,0.005723780057136318,4.203040724734782,0.8763342032245561
7,0.17188992022042393,0.6248866926564715,0.005170288680286777,4.067855394239578,0.7161667872877682
8,0.14713093029135724,0.5457124828206108,0.0035304936961162675,3.491861580716179,0.672827848032409
9,0.13884333142658573,0.5037164696256772,0.0024817107173196276,3.283064784112987,0.6484642098931706
10,0.13926698466028875,0.5036143375420624,0.003229789620430839,3.2921838119524214,0.6616459152862137
11,0.12893593279063567,0.46747832621420166,0.002138229575992513,3.048335213052928,0.6193817748742945
12,0.1289939187076749,0.4666795441392885,0.002678503789928379,3.049236407312554,0.6417400790195839
13,0.1282884194802043,0.4616472008288042,0.0020845435964949176,3.029500134985105,0.6260224645044289
14,0.1265871753419722,0.4533851340854358,0.0021378439538189313,2.9872664807869254,0.6728696022547928
15,2.036942904386542,1.5778673436484196,0.0215024310415373,42.33822849073823,3.0079890816819432
16,0.6232688019650401,1.8634924367239916,0.06898062086258676,14.397849064481557,2.0160376067255057
17,0.3858131781593814,1.304855965128792,0.031424844102904304,9.052544281531574,1.5586231830073338
18,0.2864241779936745,1.0172993212191555,0.01638791394464519,6.762170824211659,1.3509959666167988
19,0.24363087317938142,0.8742883931802997,0.010663847591736457,5.757569724715109,1.3115012628190659
20,0.21867526699375184,0.7938106795921412,0.008706380190976932,5.176022392742183,1.214234814339993
21,0.2084337002459854,0.7516711051480374,0.007916631278367649,4.928261748750552,1.2353482310678445
22,0.1931762643379068,0.7115585571812606,0.007025757101247753,4.582109608791412,1.260033967448216
23,0.19145709218495527,0.6887272744352563,0.0062890490517020226,4.524158127487113,1.1633824542456983
24,0.18259807199171843,0.6626757607373127,0.006571350554492248,4.321208556312092,1.2107453860488593
25,0.1798037274449996,0.6457643333763088,0.0056821727681828655,4.247521053414139,1.2268540718976189
26,0.17254143888830867,0.6325963040419211,0.005609321383576934,4.089034407991483,1.1733136790640213
27,0.1694947806672789,0.6136473409135684,0.005070761759428133,4.00861372627267,1.0828727296754426
28,0.1690892213467585,0.6116015012280545,0.00540080385554183,3.998786718807351,1.121682860103308
29,0.16830984518305317,0.6028786559582843,0.005203132725008901,3.974278691960902,1.196593606004528
30,0.16208957173015098,0.5922463712768294,0.005031713437297486,3.8390695092889877,1.1307799670041776
31,0.16014853177553973,0.5844016959020923,0.0048856911554949565,3.792258015526183,1.1222958938748229
32,0.16060650145002814,0.5734708920155136,0.005097553170559788,3.790698473437229,1.1454197986453187
33,0.15579208176676396,0.5635433886751771,0.004509727334803085,3.6838947363486323,1.1470600606179704
34,0.15358341972349987,0.5560601405239323,0.0045660713799976676,3.6322945940195837,1.1535997513462515
35,0.15097833304307456,0.5514129260406407,0.00414613745088322,3.575125704050607,1.1979662968831903
36,0.15433533864778917,0.5551678221969778,0.004515417554502742,3.6463899992593056,1.1547050914343666
37,0.15317440038050498,0.5501225772642601,0.004519684055654633,3.6181302624574285,1.1230417589346569
38,0.15532158248992065,0.5593850733478954,0.004475535838154053,3.6702922324656355,1.1001632406431086
39,0.1509851103559442,0.5398561038025963,0.004270293872913766,3.5638285755839596,1.0434275047451842
40,0.15385299951584844,0.5525259575159511,0.004908960975562318,3.6344948993456936,1.1723996424207501
41,0.1495505819406895,0.5379247859561633,0.004203557939499889,3.5331399869810203,1.0955397679525263
42,0.14399580803438852,0.5194516900188559,0.004019810998460155,3.40338766330467,1.0992032663494933
43,0.1413445782196413,0.5127398860481714,0.0036290940284465943,3.3432605524541033,1.06590221676172
44,0.14378099866499933,0.5186448207205683,0.004302290191869665,3.3985670856571413,1.0888606929311566
45,0.1414366753131219,0.5095109302796644,0.003889984532910694,3.3421344317173363,1.0390183715259327
46,0.141057273827001,0.5105677328511631,0.0035144673291262842,3.3352276912311214,1.1035821022940617
47,0.1418078591143352,0.5082656595864438,0.003992658500413247,3.3484154920643174,1.0833394241099263
48,0.1421212711475433,0.5159230015000884,0.0040281898265700266,3.3623766081751345,1.0718010862668355
49,0.14410230369733515,0.5237607355812959,0.004194718176723885,3.4100015337211937,1.0850548153998805
