Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.06088759704940615,0.2666398456536556,0.0028659657064447675,1.4872577590252654,0.25998663697756974
2,0.032938589608182196,0.22363853590363522,0.0012841050683866533,0.8836944314369036,0.233973937291725
3,0.029471583530765053,0.2028788493814664,0.0010173798022698399,0.793327901181436,0.2104390348289527
4,0.027576998547610566,0.18880877122792133,0.0008619381277928032,0.7412106808198612,0.2058631152498956
5,0.025570242735186002,0.1757090162307635,0.0007230448266751173,0.6878369130482707,0.1989882115055533
6,0.02548804608701913,0.17077633758883812,0.0006916426205190836,0.6812289035401746,0.19221428036689758
7,0.023615251180709496,0.1614836706930521,0.0005955906455383311,0.6343842839529411,0.1822021401980344
8,0.022304375361065658,0.1531320159962074,0.0005551682711432525,0.5997746903491726,0.1766594993133171
9,0.02183116262180387,0.14621796708443713,0.00046462767517749975,0.5833058480792817,0.17628716779690162
