loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [2.823s (2.823s)] | Data [1.943s (1.943s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.382s (1.602s)] | Data [0.152s (1.047s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.397s (1.200s)] | Data [0.145s (0.746s)] | Focal Loss [0.3620 (0.5799)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4567 (11.7514)]
Epoch: [1][4/220] | Time [0.392s (0.998s)] | Data [0.129s (0.592s)] | Focal Loss [0.7169 (0.6141)] | Dice Loss [0.0992 (0.1353)] | IoU Loss [0.0023 (0.0051)] | Total Loss [14.4386 (12.4232)]
Epoch: [1][5/220] | Time [0.447s (0.888s)] | Data [0.232s (0.520s)] | Focal Loss [0.2013 (0.5316)] | Dice Loss [0.1965 (0.1475)] | IoU Loss [0.0100 (0.0061)] | Total Loss [4.2327 (10.7851)]
Epoch: [1][6/220] | Time [0.317s (0.793s)] | Data [0.096s (0.449s)] | Focal Loss [0.4314 (0.5149)] | Dice Loss [0.0825 (0.1367)] | IoU Loss [0.0025 (0.0055)] | Total Loss [8.7123 (10.4396)]
Epoch: [1][7/220] | Time [0.365s (0.732s)] | Data [0.143s (0.406s)] | Focal Loss [0.2784 (0.4811)] | Dice Loss [0.1474 (0.1382)] | IoU Loss [0.0048 (0.0054)] | Total Loss [5.7197 (9.7654)]
Epoch: [1][8/220] | Time [0.397s (0.690s)] | Data [0.148s (0.373s)] | Focal Loss [0.6300 (0.4997)] | Dice Loss [0.1599 (0.1409)] | IoU Loss [0.0084 (0.0058)] | Total Loss [12.7679 (10.1407)]
Epoch: [1][9/220] | Time [0.437s (0.662s)] | Data [0.208s (0.355s)] | Focal Loss [0.3530 (0.4834)] | Dice Loss [0.0913 (0.1354)] | IoU Loss [0.0031 (0.0055)] | Total Loss [7.1548 (9.8089)]
Epoch: [1][10/220] | Time [0.351s (0.631s)] | Data [0.136s (0.333s)] | Focal Loss [0.2317 (0.4582)] | Dice Loss [0.1275 (0.1346)] | IoU Loss [0.0113 (0.0060)] | Total Loss [4.7718 (9.3052)]
Epoch: [1][11/220] | Time [0.355s (0.606s)] | Data [0.118s (0.314s)] | Focal Loss [0.3611 (0.4494)] | Dice Loss [0.1198 (0.1333)] | IoU Loss [0.0033 (0.0058)] | Total Loss [7.3457 (9.1271)]
