loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [4.103s (4.103s)] | Data [1.952s (1.952s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.976s (2.540s)] | Data [0.147s (1.050s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.913s (1.997s)] | Data [0.111s (0.737s)] | Focal Loss [0.4040 (0.5697)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2909 (11.5425)]
Epoch: [1][4/220] | Time [1.067s (1.765s)] | Data [0.146s (0.589s)] | Focal Loss [0.6096 (0.5797)] | Dice Loss [0.1015 (0.1325)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.2958 (11.7309)]
Epoch: [1][5/220] | Time [0.924s (1.597s)] | Data [0.142s (0.500s)] | Focal Loss [0.0910 (0.4819)] | Dice Loss [0.1412 (0.1343)] | IoU Loss [0.0065 (0.0050)] | Total Loss [1.9674 (9.7782)]
Epoch: [1][6/220] | Time [0.928s (1.485s)] | Data [0.101s (0.433s)] | Focal Loss [0.2448 (0.4424)] | Dice Loss [0.0754 (0.1245)] | IoU Loss [0.0008 (0.0043)] | Total Loss [4.9719 (8.9771)]
Epoch: [1][7/220] | Time [0.922s (1.405s)] | Data [0.112s (0.387s)] | Focal Loss [0.1579 (0.4018)] | Dice Loss [0.1357 (0.1261)] | IoU Loss [0.0030 (0.0042)] | Total Loss [3.2962 (8.1656)]
Epoch: [1][8/220] | Time [1.016s (1.356s)] | Data [0.132s (0.355s)] | Focal Loss [0.2656 (0.3847)] | Dice Loss [0.1247 (0.1259)] | IoU Loss [0.0037 (0.0041)] | Total Loss [5.4399 (7.8249)]
Epoch: [1][9/220] | Time [0.970s (1.313s)] | Data [0.137s (0.331s)] | Focal Loss [0.1898 (0.3631)] | Dice Loss [0.0917 (0.1221)] | IoU Loss [0.0020 (0.0039)] | Total Loss [3.8891 (7.3875)]
Epoch: [1][10/220] | Time [0.901s (1.272s)] | Data [0.111s (0.309s)] | Focal Loss [0.1246 (0.3392)] | Dice Loss [0.1191 (0.1218)] | IoU Loss [0.0084 (0.0043)] | Total Loss [2.6200 (6.9108)]
Epoch: [1][11/220] | Time [0.956s (1.243s)] | Data [0.114s (0.291s)] | Focal Loss [0.1114 (0.3185)] | Dice Loss [0.1014 (0.1199)] | IoU Loss [0.0010 (0.0040)] | Total Loss [2.3301 (6.4944)]
