loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.318s (3.318s)] | Data [1.885s (1.885s)] | Focal Loss [0.8384 (0.8384)] | Dice Loss [0.1483 (0.1483)] | IoU Loss [0.0090 (0.0090)] | Total Loss [16.9248 (16.9248)]
Epoch: [1][2/220] | Time [0.473s (1.896s)] | Data [0.146s (1.016s)] | Focal Loss [0.3472 (0.5928)] | Dice Loss [0.1173 (0.1328)] | IoU Loss [0.0080 (0.0085)] | Total Loss [7.0697 (11.9972)]
Epoch: [1][3/220] | Time [0.388s (1.393s)] | Data [0.092s (0.708s)] | Focal Loss [0.3013 (0.4956)] | Dice Loss [0.2974 (0.1877)] | IoU Loss [0.0117 (0.0096)] | Total Loss [6.3359 (10.1101)]
Epoch: [1][4/220] | Time [0.542s (1.180s)] | Data [0.123s (0.562s)] | Focal Loss [0.5475 (0.5086)] | Dice Loss [0.1064 (0.1674)] | IoU Loss [0.0035 (0.0080)] | Total Loss [11.0595 (10.3475)]
Epoch: [1][5/220] | Time [0.402s (1.025s)] | Data [0.124s (0.474s)] | Focal Loss [0.1351 (0.4339)] | Dice Loss [0.2236 (0.1786)] | IoU Loss [0.0077 (0.0080)] | Total Loss [2.9339 (8.8647)]
Epoch: [1][6/220] | Time [0.400s (0.921s)] | Data [0.080s (0.408s)] | Focal Loss [0.3368 (0.4177)] | Dice Loss [0.0945 (0.1646)] | IoU Loss [0.0028 (0.0071)] | Total Loss [6.8327 (8.5261)]
Epoch: [1][7/220] | Time [0.396s (0.846s)] | Data [0.093s (0.363s)] | Focal Loss [0.2734 (0.3971)] | Dice Loss [0.1857 (0.1676)] | IoU Loss [0.0070 (0.0071)] | Total Loss [5.6609 (8.1168)]
Epoch: [1][8/220] | Time [0.496s (0.802s)] | Data [0.117s (0.333s)] | Focal Loss [0.5010 (0.4101)] | Dice Loss [0.1637 (0.1671)] | IoU Loss [0.0070 (0.0071)] | Total Loss [10.1907 (8.3760)]
Epoch: [1][9/220] | Time [0.459s (0.764s)] | Data [0.135s (0.311s)] | Focal Loss [0.3444 (0.4028)] | Dice Loss [0.1034 (0.1600)] | IoU Loss [0.0043 (0.0068)] | Total Loss [6.9951 (8.2226)]
Epoch: [1][10/220] | Time [0.373s (0.725s)] | Data [0.089s (0.288s)] | Focal Loss [0.2991 (0.3924)] | Dice Loss [0.1651 (0.1605)] | IoU Loss [0.0173 (0.0078)] | Total Loss [6.1645 (8.0168)]
Epoch: [1][11/220] | Time [0.431s (0.698s)] | Data [0.093s (0.271s)] | Focal Loss [0.4439 (0.3971)] | Dice Loss [0.1453 (0.1592)] | IoU Loss [0.0070 (0.0078)] | Total Loss [9.0294 (8.1088)]
Epoch: [1][12/220] | Time [0.354s (0.669s)] | Data [0.086s (0.255s)] | Focal Loss [0.2078 (0.3813)] | Dice Loss [0.3144 (0.1721)] | IoU Loss [0.0163 (0.0085)] | Total Loss [4.4867 (7.8070)]
Epoch: [1][13/220] | Time [0.347s (0.645s)] | Data [0.065s (0.241s)] | Focal Loss [0.2423 (0.3706)] | Dice Loss [0.1641 (0.1715)] | IoU Loss [0.0153 (0.0090)] | Total Loss [5.0245 (7.5929)]
Epoch: [1][14/220] | Time [0.426s (0.629s)] | Data [0.094s (0.230s)] | Focal Loss [0.4863 (0.3789)] | Dice Loss [0.2434 (0.1766)] | IoU Loss [0.0087 (0.0090)] | Total Loss [9.9779 (7.7633)]
Epoch: [1][15/220] | Time [0.451s (0.617s)] | Data [0.114s (0.222s)] | Focal Loss [0.2637 (0.3712)] | Dice Loss [0.1422 (0.1743)] | IoU Loss [0.0061 (0.0088)] | Total Loss [5.4231 (7.6073)]
Epoch: [1][16/220] | Time [0.384s (0.603s)] | Data [0.097s (0.215s)] | Focal Loss [0.3104 (0.3674)] | Dice Loss [0.2774 (0.1808)] | IoU Loss [0.0253 (0.0098)] | Total Loss [6.5105 (7.5387)]
Epoch: [1][17/220] | Time [0.457s (0.594s)] | Data [0.100s (0.208s)] | Focal Loss [0.4252 (0.3708)] | Dice Loss [0.1713 (0.1802)] | IoU Loss [0.0091 (0.0098)] | Total Loss [8.6844 (7.6061)]
Epoch: [1][18/220] | Time [0.439s (0.585s)] | Data [0.119s (0.203s)] | Focal Loss [0.2875 (0.3662)] | Dice Loss [0.1051 (0.1760)] | IoU Loss [0.0042 (0.0095)] | Total Loss [5.8601 (7.5091)]
Epoch: [1][19/220] | Time [0.451s (0.578s)] | Data [0.106s (0.198s)] | Focal Loss [0.4803 (0.3722)] | Dice Loss [0.1992 (0.1772)] | IoU Loss [0.0159 (0.0098)] | Total Loss [9.8216 (7.6308)]
Epoch: [1][20/220] | Time [0.387s (0.569s)] | Data [0.100s (0.193s)] | Focal Loss [0.3015 (0.3687)] | Dice Loss [0.1957 (0.1782)] | IoU Loss [0.0148 (0.0100)] | Total Loss [6.2397 (7.5613)]
Epoch: [1][21/220] | Time [0.466s (0.564s)] | Data [0.103s (0.189s)] | Focal Loss [0.4810 (0.3740)] | Dice Loss [0.0971 (0.1743)] | IoU Loss [0.0029 (0.0097)] | Total Loss [9.7194 (7.6640)]
Epoch: [1][22/220] | Time [0.661s (0.568s)] | Data [0.184s (0.188s)] | Focal Loss [1.1125 (0.4076)] | Dice Loss [0.1586 (0.1736)] | IoU Loss [0.0075 (0.0096)] | Total Loss [22.4159 (8.3346)]
Epoch: [1][23/220] | Time [0.536s (0.567s)] | Data [0.177s (0.188s)] | Focal Loss [0.4246 (0.4083)] | Dice Loss [0.1135 (0.1710)] | IoU Loss [0.0062 (0.0095)] | Total Loss [8.6126 (8.3467)]
Epoch: [1][24/220] | Time [0.385s (0.559s)] | Data [0.099s (0.184s)] | Focal Loss [0.2363 (0.4011)] | Dice Loss [0.3198 (0.1772)] | IoU Loss [0.0143 (0.0097)] | Total Loss [5.0599 (8.2097)]
Epoch: [1][25/220] | Time [0.534s (0.558s)] | Data [0.123s (0.182s)] | Focal Loss [0.5533 (0.4072)] | Dice Loss [0.1262 (0.1751)] | IoU Loss [0.0058 (0.0095)] | Total Loss [11.1978 (8.3292)]
Epoch: [1][26/220] | Time [0.469s (0.555s)] | Data [0.142s (0.180s)] | Focal Loss [0.5756 (0.4137)] | Dice Loss [0.3253 (0.1809)] | IoU Loss [0.0127 (0.0096)] | Total Loss [11.8497 (8.4647)]
Epoch: [1][27/220] | Time [0.544s (0.554s)] | Data [0.140s (0.179s)] | Focal Loss [0.4446 (0.4148)] | Dice Loss [0.1207 (0.1787)] | IoU Loss [0.0046 (0.0094)] | Total Loss [9.0171 (8.4851)]
Epoch: [1][28/220] | Time [0.417s (0.550s)] | Data [0.121s (0.177s)] | Focal Loss [0.2111 (0.4076)] | Dice Loss [0.1610 (0.1781)] | IoU Loss [0.0096 (0.0095)] | Total Loss [4.3921 (8.3389)]
Epoch: [1][29/220] | Time [0.403s (0.545s)] | Data [0.086s (0.174s)] | Focal Loss [0.2844 (0.4033)] | Dice Loss [0.0840 (0.1748)] | IoU Loss [0.0023 (0.0092)] | Total Loss [5.7737 (8.2505)]
Epoch: [1][30/220] | Time [0.470s (0.542s)] | Data [0.114s (0.172s)] | Focal Loss [0.4477 (0.4048)] | Dice Loss [0.1879 (0.1753)] | IoU Loss [0.0121 (0.0093)] | Total Loss [9.1543 (8.2806)]
Epoch: [1][31/220] | Time [0.494s (0.540s)] | Data [0.131s (0.170s)] | Focal Loss [0.4346 (0.4058)] | Dice Loss [0.1846 (0.1756)] | IoU Loss [0.0147 (0.0095)] | Total Loss [8.8908 (8.3003)]
Epoch: [1][32/220] | Time [0.470s (0.538s)] | Data [0.130s (0.169s)] | Focal Loss [0.3989 (0.4055)] | Dice Loss [0.1562 (0.1750)] | IoU Loss [0.0095 (0.0095)] | Total Loss [8.1445 (8.2954)]
Epoch: [1][33/220] | Time [0.545s (0.538s)] | Data [0.144s (0.168s)] | Focal Loss [0.4279 (0.4062)] | Dice Loss [0.1340 (0.1737)] | IoU Loss [0.0053 (0.0093)] | Total Loss [8.6976 (8.3076)]
Epoch: [1][34/220] | Time [0.438s (0.536s)] | Data [0.127s (0.167s)] | Focal Loss [0.1792 (0.3996)] | Dice Loss [0.1795 (0.1739)] | IoU Loss [0.0030 (0.0092)] | Total Loss [3.7668 (8.1741)]
Epoch: [1][35/220] | Time [0.557s (0.536s)] | Data [0.136s (0.166s)] | Focal Loss [0.3110 (0.3970)] | Dice Loss [0.1845 (0.1742)] | IoU Loss [0.0061 (0.0091)] | Total Loss [6.4097 (8.1236)]
Epoch: [1][36/220] | Time [0.600s (0.538s)] | Data [0.194s (0.167s)] | Focal Loss [0.2113 (0.3919)] | Dice Loss [0.1220 (0.1727)] | IoU Loss [0.0029 (0.0089)] | Total Loss [4.3512 (8.0189)]
Epoch: [1][37/220] | Time [0.423s (0.535s)] | Data [0.135s (0.166s)] | Focal Loss [0.1127 (0.3843)] | Dice Loss [0.2986 (0.1761)] | IoU Loss [0.0062 (0.0088)] | Total Loss [2.5582 (7.8713)]
Epoch: [1][38/220] | Time [0.476s (0.533s)] | Data [0.108s (0.165s)] | Focal Loss [0.2210 (0.3800)] | Dice Loss [0.2018 (0.1768)] | IoU Loss [0.0038 (0.0087)] | Total Loss [4.6264 (7.7859)]
Epoch: [1][39/220] | Time [0.520s (0.533s)] | Data [0.144s (0.164s)] | Focal Loss [0.1360 (0.3738)] | Dice Loss [0.1426 (0.1759)] | IoU Loss [0.0018 (0.0085)] | Total Loss [2.8652 (7.6597)]
Epoch: [1][40/220] | Time [0.485s (0.532s)] | Data [0.143s (0.163s)] | Focal Loss [0.1786 (0.3689)] | Dice Loss [0.2404 (0.1775)] | IoU Loss [0.0038 (0.0084)] | Total Loss [3.8154 (7.5636)]
Epoch: [1][41/220] | Time [0.487s (0.531s)] | Data [0.142s (0.163s)] | Focal Loss [0.1293 (0.3630)] | Dice Loss [0.3157 (0.1809)] | IoU Loss [0.0041 (0.0083)] | Total Loss [2.9061 (7.4500)]
Epoch: [1][42/220] | Time [0.418s (0.528s)] | Data [0.109s (0.162s)] | Focal Loss [0.0920 (0.3566)] | Dice Loss [0.1675 (0.1806)] | IoU Loss [0.0026 (0.0082)] | Total Loss [2.0103 (7.3205)]
Epoch: [1][43/220] | Time [0.404s (0.525s)] | Data [0.090s (0.160s)] | Focal Loss [0.0823 (0.3502)] | Dice Loss [0.3153 (0.1837)] | IoU Loss [0.0037 (0.0081)] | Total Loss [1.9646 (7.1959)]
Epoch: [1][44/220] | Time [0.544s (0.525s)] | Data [0.147s (0.160s)] | Focal Loss [0.1341 (0.3453)] | Dice Loss [0.3051 (0.1865)] | IoU Loss [0.0042 (0.0080)] | Total Loss [2.9912 (7.1004)]
