loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.877s (3.877s)] | Data [1.942s (1.942s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.969s (2.423s)] | Data [0.136s (1.039s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.909s (1.918s)] | Data [0.107s (0.728s)] | Focal Loss [0.4041 (0.5697)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2921 (11.5429)]
Epoch: [1][4/220] | Time [1.062s (1.704s)] | Data [0.138s (0.581s)] | Focal Loss [0.6096 (0.5797)] | Dice Loss [0.1015 (0.1325)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.2952 (11.7310)]
Epoch: [1][5/220] | Time [0.917s (1.547s)] | Data [0.134s (0.491s)] | Focal Loss [0.0909 (0.4819)] | Dice Loss [0.1412 (0.1343)] | IoU Loss [0.0065 (0.0050)] | Total Loss [1.9665 (9.7781)]
Epoch: [1][6/220] | Time [0.928s (1.444s)] | Data [0.100s (0.426s)] | Focal Loss [0.2446 (0.4424)] | Dice Loss [0.0754 (0.1244)] | IoU Loss [0.0008 (0.0043)] | Total Loss [4.9677 (8.9764)]
Epoch: [1][7/220] | Time [0.915s (1.368s)] | Data [0.106s (0.380s)] | Focal Loss [0.1579 (0.4017)] | Dice Loss [0.1357 (0.1261)] | IoU Loss [0.0030 (0.0042)] | Total Loss [3.2968 (8.1650)]
Epoch: [1][8/220] | Time [1.013s (1.324s)] | Data [0.126s (0.348s)] | Focal Loss [0.2654 (0.3847)] | Dice Loss [0.1246 (0.1259)] | IoU Loss [0.0037 (0.0041)] | Total Loss [5.4361 (7.8239)]
Epoch: [1][9/220] | Time [0.966s (1.284s)] | Data [0.135s (0.325s)] | Focal Loss [0.1897 (0.3630)] | Dice Loss [0.0917 (0.1221)] | IoU Loss [0.0020 (0.0039)] | Total Loss [3.8873 (7.3865)]
Epoch: [1][10/220] | Time [0.901s (1.246s)] | Data [0.109s (0.303s)] | Focal Loss [0.1246 (0.3392)] | Dice Loss [0.1191 (0.1218)] | IoU Loss [0.0084 (0.0043)] | Total Loss [2.6187 (6.9097)]
Epoch: [1][11/220] | Time [0.956s (1.219s)] | Data [0.110s (0.286s)] | Focal Loss [0.1112 (0.3185)] | Dice Loss [0.1013 (0.1199)] | IoU Loss [0.0010 (0.0040)] | Total Loss [2.3253 (6.4929)]
Epoch: [1][12/220] | Time [0.883s (1.191s)] | Data [0.106s (0.271s)] | Focal Loss [0.0951 (0.2998)] | Dice Loss [0.1776 (0.1247)] | IoU Loss [0.0031 (0.0039)] | Total Loss [2.0826 (6.1254)]
Epoch: [1][13/220] | Time [0.875s (1.167s)] | Data [0.086s (0.256s)] | Focal Loss [0.0854 (0.2833)] | Dice Loss [0.1317 (0.1253)] | IoU Loss [0.0022 (0.0038)] | Total Loss [1.8426 (5.7960)]
Epoch: [1][14/220] | Time [0.952s (1.152s)] | Data [0.110s (0.246s)] | Focal Loss [0.1489 (0.2737)] | Dice Loss [0.2054 (0.1310)] | IoU Loss [0.0023 (0.0037)] | Total Loss [3.1853 (5.6095)]
Epoch: [1][15/220] | Time [0.971s (1.140s)] | Data [0.127s (0.238s)] | Focal Loss [0.0968 (0.2619)] | Dice Loss [0.1310 (0.1310)] | IoU Loss [0.0029 (0.0036)] | Total Loss [2.0706 (5.3736)]
Epoch: [1][16/220] | Time [0.913s (1.125s)] | Data [0.117s (0.231s)] | Focal Loss [0.0642 (0.2496)] | Dice Loss [0.2021 (0.1354)] | IoU Loss [0.0050 (0.0037)] | Total Loss [1.4916 (5.1309)]
Epoch: [1][17/220] | Time [0.978s (1.117s)] | Data [0.116s (0.224s)] | Focal Loss [0.1184 (0.2419)] | Dice Loss [0.1660 (0.1372)] | IoU Loss [0.0039 (0.0037)] | Total Loss [2.5381 (4.9784)]
Epoch: [1][18/220] | Time [0.961s (1.108s)] | Data [0.128s (0.219s)] | Focal Loss [0.0475 (0.2311)] | Dice Loss [0.1066 (0.1355)] | IoU Loss [0.0039 (0.0037)] | Total Loss [1.0597 (4.7607)]
Epoch: [1][19/220] | Time [0.977s (1.101s)] | Data [0.125s (0.214s)] | Focal Loss [0.0711 (0.2227)] | Dice Loss [0.1547 (0.1366)] | IoU Loss [0.0040 (0.0038)] | Total Loss [1.5802 (4.5933)]
Epoch: [1][20/220] | Time [0.917s (1.092s)] | Data [0.116s (0.209s)] | Focal Loss [0.0440 (0.2137)] | Dice Loss [0.1729 (0.1384)] | IoU Loss [0.0058 (0.0039)] | Total Loss [1.0585 (4.4166)]
Epoch: [1][21/220] | Time [0.994s (1.087s)] | Data [0.121s (0.205s)] | Focal Loss [0.0443 (0.2057)] | Dice Loss [0.0918 (0.1361)] | IoU Loss [0.0028 (0.0038)] | Total Loss [0.9812 (4.2530)]
Epoch: [1][22/220] | Time [1.175s (1.091s)] | Data [0.185s (0.204s)] | Focal Loss [0.1183 (0.2017)] | Dice Loss [0.1526 (0.1369)] | IoU Loss [0.0031 (0.0038)] | Total Loss [2.5209 (4.1743)]
Epoch: [1][23/220] | Time [1.052s (1.090s)] | Data [0.183s (0.203s)] | Focal Loss [0.0503 (0.1951)] | Dice Loss [0.1254 (0.1364)] | IoU Loss [0.0038 (0.0038)] | Total Loss [1.1355 (4.0421)]
Epoch: [1][24/220] | Time [0.920s (1.083s)] | Data [0.124s (0.199s)] | Focal Loss [0.0390 (0.1886)] | Dice Loss [0.2720 (0.1420)] | IoU Loss [0.0072 (0.0039)] | Total Loss [1.0592 (3.9179)]
Epoch: [1][25/220] | Time [1.061s (1.082s)] | Data [0.138s (0.197s)] | Focal Loss [0.0506 (0.1831)] | Dice Loss [0.1364 (0.1418)] | IoU Loss [0.0029 (0.0039)] | Total Loss [1.1517 (3.8072)]
Epoch: [1][26/220] | Time [0.992s (1.078s)] | Data [0.153s (0.195s)] | Focal Loss [0.0684 (0.1787)] | Dice Loss [0.2533 (0.1461)] | IoU Loss [0.0023 (0.0038)] | Total Loss [1.6238 (3.7232)]
Epoch: [1][27/220] | Time [1.060s (1.078s)] | Data [0.148s (0.194s)] | Focal Loss [0.0421 (0.1736)] | Dice Loss [0.1305 (0.1455)] | IoU Loss [0.0051 (0.0039)] | Total Loss [0.9775 (3.6215)]
Epoch: [1][28/220] | Time [0.949s (1.073s)] | Data [0.143s (0.192s)] | Focal Loss [0.0321 (0.1686)] | Dice Loss [0.2121 (0.1479)] | IoU Loss [0.0069 (0.0040)] | Total Loss [0.8618 (3.5230)]
Epoch: [1][29/220] | Time [0.932s (1.068s)] | Data [0.104s (0.189s)] | Focal Loss [0.0229 (0.1635)] | Dice Loss [0.1203 (0.1470)] | IoU Loss [0.0055 (0.0040)] | Total Loss [0.5831 (3.4216)]
